strat,runfrac,floor_real_M,top_wr,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin
sc2.6,0.45,5.0,0.2,0.01,14,87,0.0,141.8,5294.2,2
sc2.6,0.45,5.5,0.16,0.01,0,160,5.5,138.9,3211.4,0
sc2.6,0.45,5.5,0.18,0.01,15,102,0.0,140.6,5277.9,2
sc2.6,0.45,5.5,0.2,0.01,15,90,0.0,142.3,5294.2,2
sc2.6,0.45,6.0,0.16,0.01,8,189,0.0,140.4,3101.2,1
sc2.6,0.45,6.0,0.18,0.01,16,109,0.0,141.6,4663.3,2
sc2.6,0.45,6.0,0.2,0.01,16,95,0.0,142.8,4553.8,2
sc2.6,0.45,6.37,0.16,0.01,11,190,0.0,140.7,4016.1,2
sc2.6,0.45,6.37,0.18,0.01,21,115,0.0,142.3,4211.4,3
sc2.6,0.45,6.37,0.2,0.01,21,103,0.0,143.2,4553.8,3
sc2.6,0.5,4.0,0.16,0.01,0,140,4.0,134.4,3964.7,0
sc2.6,0.5,4.0,0.18,0.01,1,96,3.87,137.6,4436.5,1
sc2.6,0.5,4.0,0.2,0.01,1,82,3.87,140.8,4207.2,1
sc2.6,0.5,4.5,0.16,0.01,0,146,4.5,135.9,5135.0,0
sc2.6,0.5,4.5,0.18,0.01,7,109,0.0,138.6,4061.8,2
sc2.6,0.5,4.5,0.2,0.01,7,86,0.0,141.3,4158.8,1
sc2.6,0.5,5.0,0.16,0.01,0,149,5.0,137.4,6374.9,0
sc2.6,0.5,5.0,0.18,0.01,7,105,0.0,139.6,3447.2,1
sc2.6,0.5,5.0,0.2,0.01,6,87,0.0,141.8,3933.0,1
sc2.6,0.5,5.5,0.16,0.01,8,152,0.0,138.9,6097.1,1
sc2.6,0.5,5.5,0.18,0.01,0,106,5.5,140.6,3247.3,0
sc2.6,0.5,5.5,0.2,0.01,0,82,5.5,142.3,3707.2,0
sc2.6,0.5,6.0,0.16,0.01,0,170,6.0,139.8,4239.6,0
sc2.6,0.5,6.0,0.18,0.01,1,115,4.24,141.6,3139.8,1
sc2.6,0.5,6.0,0.2,0.01,1,101,4.24,142.8,3524.3,1
sc2.6,0.5,6.37,0.16,0.01,4,182,0.0,141.1,3620.0,1
sc2.6,0.5,6.37,0.18,0.01,7,134,0.0,141.9,2752.1,2
sc2.6,0.5,6.37,0.2,0.01,8,113,0.0,143.2,3336.5,2
